Title,Description,Project,Status,Priority,Labels,Milestone,Estimate,Dependencies
"Phase 0.1: Fix Broken Anchor Links","Fix ~15 broken anchor links in README.md, ARCHITECTURE.md, DATABASE.md, EDGE_FUNCTIONS.md. Verify all links work using markdown link checker.","Documentation & Investor Prep",Backlog,Critical,"Phase 0, Documentation, Type: Documentation",Week 1: Foundation & Documentation,4h,None
"Phase 0.2: Archive Old Files","Move old files to docs/archive/ directory. Update references. Add README explaining archival.","Documentation & Investor Prep",Backlog,Critical,"Phase 0, Documentation, Type: Documentation",Week 1: Foundation & Documentation,2h,0.1
"Phase 0.3: Create Migration SQL Files","Create placeholder files in supabase/migrations/ for 5 core migrations with proper headers and comments.","Backend",Backlog,Critical,"Phase 0, Database, Type: Documentation",Week 1: Foundation & Documentation,2h,0.2
"Phase 1.1.1: Move Credentials to Environment Variables","Create .env file, add Supabase URL and anon key, update src/lib/supabase.ts to use process.env, verify .env in .gitignore.","Backend",Backlog,Critical,"Phase 1, Security, Risk: High, Type: Feature",Week 1: Foundation & Documentation,2h,0.3
"Phase 1.1.2: Configure Session Persistence","Install MMKV, create src/lib/mmkvStorage.ts adapter, update Supabase client to use MMKV storage, add encryption, test persistence.","Backend",Backlog,Critical,"Phase 1, Security, Risk: High, Type: Feature",Week 1: Foundation & Documentation,3h,1.1.1
"Phase 1.1.3: Add Error Boundary","Create src/components/ErrorBoundary.tsx, wrap app in error boundary, add error reporting, test with intentional error.","Frontend",Backlog,High,"Phase 1, Frontend, Type: Feature",Week 1: Foundation & Documentation,2h,1.1.2
"Phase 1.1.4: Add Input Validation","Add phone number validation in login screen, OTP validation (6 digits), show user-friendly error messages.","Frontend",Backlog,High,"Phase 1, Frontend, Type: Feature",Week 1: Foundation & Documentation,1h,1.1.3
"Phase 1.2.1: Create Users & Credits Schema","Write 001_users_credits_schema.sql with user_profiles, credit_events, user_credit_balances, books, user_books tables. Add RLS policies, indexes, triggers.","Backend",Backlog,Critical,"Phase 1, Database, Risk: High, Type: Feature",Week 1: Foundation & Documentation,4h,0.3
"Phase 1.2.2: Create Exchange Schema","Write 002_exchange_schema.sql with listings, transactions, transaction_events, user_addresses tables. Add RLS, indexes, triggers for state machine.","Backend",Backlog,Critical,"Phase 1, Database, Risk: High, Type: Feature",Week 1: Foundation & Documentation,4h,1.2.1
"Phase 1.2.3: Create Venues & Clubs Schema","Write 003_venues_clubs_schema.sql with venues, book_clubs, club_members, club_books tables. Add RLS, indexes, membership limit triggers.","Backend",Backlog,Critical,"Phase 1, Database, Risk: High, Type: Feature",Week 1: Foundation & Documentation,4h,1.2.2
"Phase 1.2.4: Create Chat & Moderation Schema","Write 005_chat_moderation_schema.sql with club_messages, message_reactions, club_events, moderation_actions tables. Add RLS, indexes, auto-moderation triggers.","Backend",Backlog,Critical,"Phase 1, Database, Risk: High, Type: Feature",Week 1: Foundation & Documentation,3h,1.2.3
"Phase 1.2.5: Deploy All Migrations","Run migrations in Supabase SQL Editor, verify tables created, verify RLS policies active, seed test data (5 users, 20 books), test RLS with different users.","Backend",Backlog,Critical,"Phase 1, Database, Risk: High, Type: Feature",Week 1: Foundation & Documentation,1h,1.2.4
"Phase 2.1.1: Create Listings Service","Create src/features/exchange/services/listingsService.ts with CRUD operations. Add city-based filtering using PostGIS, pagination, TanStack Query hooks.","Backend",Backlog,High,"Phase 2, Backend, Type: Feature",Weeks 2-4: P2P Exchange,6h,1.2.5
"Phase 2.1.2: Create Transactions Service","Create src/features/exchange/services/transactionsService.ts with transaction flow. Add state machine validation, TanStack Query hooks.","Backend",Backlog,High,"Phase 2, Backend, Type: Feature",Weeks 2-4: P2P Exchange,6h,2.1.1
"Phase 2.1.3: Create Addresses Service","Create src/features/exchange/services/addressesService.ts with CRUD operations. Add geocoding integration (Google Maps API), TanStack Query hooks.","Backend",Backlog,High,"Phase 2, Backend, Type: Feature",Weeks 2-4: P2P Exchange,4h,2.1.2
"Phase 2.2.1: Create Payment Order Function","Create supabase/functions/create-payment-order/index.ts. Install Razorpay SDK, implement order creation, add error handling, test with Razorpay test mode.","Backend",Backlog,Critical,"Phase 2, Integrations, Risk: High, Type: Feature",Weeks 2-4: P2P Exchange,4h,2.1.3
"Phase 2.2.2: Verify Payment Function","Create supabase/functions/verify-payment/index.ts. Implement Razorpay signature verification, update transaction status, handle webhook retries.","Backend",Backlog,Critical,"Phase 2, Integrations, Risk: High, Type: Feature",Weeks 2-4: P2P Exchange,4h,2.2.1
"Phase 2.2.3: Refund Deposit Function","Create supabase/functions/refund-deposit/index.ts. Implement Razorpay refund API, update transaction status, log refund events.","Backend",Backlog,High,"Phase 2, Integrations, Type: Feature",Weeks 2-4: P2P Exchange,4h,2.2.2
"Phase 2.3.1: Book Shipment Function","Create supabase/functions/book-shipment/index.ts. Integrate Porter API (Dunzo fallback), calculate delivery cost, create shipment, return tracking ID.","Backend",Backlog,Critical,"Phase 2, Integrations, Risk: High, Type: Feature",Weeks 2-4: P2P Exchange,4h,2.2.3
"Phase 2.3.2: Shipment Webhook Handler","Add webhook endpoint to book-shipment function. Handle delivery status updates, update transaction status, send push notification.","Backend",Backlog,High,"Phase 2, Integrations, Type: Feature",Weeks 2-4: P2P Exchange,4h,2.3.1
"Phase 2.4.1: Complete Transaction Function","Create supabase/functions/complete-transaction/index.ts. Implement atomic credit transfer, create credit_events entries, update balances via trigger.","Backend",Backlog,Critical,"Phase 2, Backend, Risk: High, Type: Feature",Weeks 2-4: P2P Exchange,2h,2.3.2
